video_source,reader_sleep_seconds,reader_flush_proportion,downscale_factor,dilate_kernel_size,movement_threshold,persist_factor,num_opencv_threads,start_datetime,input_duration_seconds,processing_duration_seconds,input_filesize_MB,output_filesize_MB
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-12 20:26:32.121403,600.0,595.7,1179.422966,76.702768
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-13 04:41:58.650938,600.066667,245.04,1074.495404,53.532852
data/strawberry/cam_3_S_video_20210312_123203.h264.avi,5,0.9,1,41,40,0.65,10,2022-12-12 19:56:26.341649,600.0,595.16,1179.422966,77.380056
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-12 17:06:38.454938,600.133333,240.41,1296.294376,51.82069
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,1,41,40,0.65,10,2022-12-12 22:02:06.528909,600.1,705.1,1013.734438,300.7923
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-12 15:19:14.121371,598.366667,245.31,987.957332,54.282634
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,16,63,40,0.65,10,2022-12-13 00:52:03.644633,600.133333,255.32,1320.890072,57.640168
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,16,41,50,0.75,10,2022-12-12 19:10:08.267932,600.4,240.05,1319.24134,52.529514
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-13 02:28:25.164804,598.9,640.84,1264.504246,72.04452
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-12 18:21:41.530105,600.4,590.43,1319.24134,68.440504
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-12 18:31:31.986700,600.4,635.1,1319.24134,87.370636
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,1,63,50,0.75,10,2022-12-13 05:48:42.103552,598.633333,625.07,942.772768,118.62492
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-12 15:45:19.899283,600.133333,555.11,1296.294376,55.909914
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-12 15:23:19.480643,600.133333,640.18,1296.294376,73.186842
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-13 03:16:18.755720,598.9,250.04,1264.504246,53.089288
data/strawberry/cam_4_N_video_20210317_114802.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-12 11:52:20.079567,600.133333,580.08,1024.980056,78.621286
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,1,41,50,0.65,10,2022-12-13 00:30:10.992728,600.133333,635.71,1320.890072,86.937164
data/strawberry/cam_3_N_video_20210317_142705.h264.avi,5,0.9,1,63,50,0.65,10,2022-12-13 05:37:20.426332,598.633333,681.73,942.772768,91.472882
data/strawberry/cam_4_N_video_20210317_120802.h264.avi,5,0.9,1,41,50,0.75,10,2022-12-12 14:40:21.819535,598.366667,620.69,987.957332,100.307276
data/strawberry/cam_7_S_video_20210310_142405.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-13 01:16:56.010115,600.133333,240.09,1320.890072,54.669196
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,16,41,40,0.65,10,2022-12-13 04:58:28.927459,600.066667,245.04,1074.495404,52.931846
data/strawberry/cam_1_N_video_20210315_132804.h264.avi,5,0.9,1,63,50,0.75,10,2022-12-13 01:55:31.462176,598.9,636.51,1264.504246,91.566592
data/strawberry/cam_1_S_video_20210317_123004.h264.avi,5,0.9,16,41,40,0.75,10,2022-12-12 19:02:07.627990,600.4,240.03,1319.24134,53.302272
data/strawberry/cam_2_S_video_20210308_112402.h264.avi,5,0.9,16,41,50,0.65,10,2022-12-12 17:10:38.881924,600.133333,240.14,1296.294376,51.691148
data/strawberry/cam_4_N_video_20210309_132604.h264.avi,5,0.9,1,41,40,0.65,10,2022-12-13 04:04:01.219053,600.066667,540.08,1074.495404,79.327364
data/strawberry/cam_8_N_video_20210310_133844.h264.avi,5,0.9,1,63,40,0.65,10,2022-12-12 21:08:38.800966,600.1,755.1,1013.734438,299.779022
